Booking_ID,Date,Time,Customer_ID,Driver_ID,Vehicle_ID,City,Booking_Status,Distance_km,Fare_Amount,Payment_Type
BOOK_1,2025-07-25,02:22:23,CUST_310,DRV_74,VEH_49,Bangalore,Completed,17.36,289.04,UPI
BOOK_2,2025-12-17,19:46:18,CUST_230,DRV_162,VEH_183,Delhi,Completed,4.34,75.51,Card
BOOK_3,2025-12-05,20:15:43,CUST_509,DRV_137,VEH_197,Chennai,Completed,4.87,147.68,UPI
BOOK_4,2026-03-19,17:34:15,CUST_547,DRV_57,VEH_11,Kolkata,Completed,19.7,237.4,UPI
BOOK_5,2025-08-20,06:16:55,CUST_148,DRV_215,VEH_294,Kolkata,Completed,6.4,117.79,UPI
BOOK_6,2025-11-04,09:26:43,CUST_118,DRV_13,VEH_153,Hyderabad,Cancelled,13.41,193.8,UPI
BOOK_7,2025-11-25,21:39:51,CUST_450,DRV_88,VEH_253,Delhi,Completed,17.35,342.83,UPI
BOOK_8,2025-11-11,09:37:41,CUST_509,DRV_227,VEH_199,Delhi,Completed,15.72,324.6,Wallet
BOOK_9,2025-05-14,09:23:07,CUST_148,DRV_186,VEH_280,Mumbai,Completed,4.72,145.88,Card
BOOK_10,2025-06-21,04:40:33,CUST_11,DRV_164,VEH_197,Delhi,Completed,14.3,353.86,UPI
BOOK_11,2025-04-22,17:13:26,CUST_466,DRV_127,VEH_19,Mumbai,Cancelled,17.5,371.12,Wallet
BOOK_12,2025-05-26,18:57:05,CUST_547,DRV_170,VEH_254,Bangalore,Cancelled,13.7,222.33,UPI
BOOK_13,2025-05-02,22:34:11,CUST_360,DRV_124,VEH_54,Delhi,Completed,11.06,274.3,Cash
BOOK_14,2026-02-08,17:37:08,CUST_568,DRV_97,VEH_174,Bangalore,Completed,6.62,127.65,UPI
BOOK_15,2025-06-19,21:55:44,CUST_685,DRV_12,VEH_251,Hyderabad,Completed,9.39,120.85,UPI
BOOK_16,2025-05-09,18:40:31,CUST_180,DRV_38,VEH_72,Mumbai,Completed,5.93,164.99,UPI
BOOK_17,2025-06-24,19:46:07,CUST_379,DRV_111,VEH_178,Mumbai,Completed,19.45,307.05,Cash
BOOK_18,2025-08-07,22:15:32,CUST_31,DRV_158,VEH_200,Pune,Completed,7.22,197.71,Card
BOOK_19,2026-02-28,18:14:36,CUST_413,DRV_276,VEH_24,Pune,Completed,14.05,154.82,Wallet
